x,y,z
0.0,0.0,1.5
0.05,0.05,1.5
0.1,0.1,1.5
0.15,0.15,1.5
0.2,0.2,1.5
0.25,0.25,1.5
0.3,0.3,1.5
0.35,0.35,1.5
0.4,0.4,1.5
0.45,0.45,1.5
0.5,0.5,1.5
0.55,0.55,1.5
0.6,0.6,1.5
0.65,0.65,1.5
0.7,0.7,1.5
0.75,0.75,1.5
0.8,0.8,1.5
0.85,0.85,1.5
0.9,0.9,1.5
0.95,0.95,1.5
1.0,1.0,1.5
1.05,1.05,1.5
1.1,1.1,1.5
1.15,1.15,1.5
1.2,1.2,1.5
1.25,1.25,1.5
1.3,1.3,1.5
1.35,1.35,1.5
1.4,1.4,1.5
1.45,1.45,1.5
1.5,1.5,1.5
1.55,1.55,1.5
1.6,1.6,1.5
1.65,1.65,1.5
1.7,1.7,1.5
1.75,1.75,1.5
1.8,1.8,1.5
1.85,1.85,1.5
1.9,1.9,1.5
1.95,1.95,1.5
2.0,2.0,1.5
2.05,2.05,1.5
2.1,2.1,1.5
2.15,2.15,1.5
2.2,2.2,1.5
2.25,2.25,1.5
2.3,2.3,1.5
2.35,2.35,1.5
2.4,2.4,1.5
2.45,2.45,1.5
2.5,2.5,1.5
2.55,2.55,1.5
2.6,2.6,1.5
2.65,2.65,1.5
2.7,2.7,1.5
2.75,2.75,1.5
2.8,2.8,1.5
2.85,2.85,1.5
2.9,2.9,1.5
2.95,2.95,1.5
3.0,3.0,1.5
3.05,3.05,1.5
3.1,3.1,1.5
3.15,3.15,1.5
3.2,3.2,1.5
3.25,3.25,1.5
3.3,3.3,1.5
3.35,3.35,1.5
3.4,3.4,1.5
3.45,3.45,1.5
3.5,3.5,1.5
3.55,3.55,1.5
3.6,3.6,1.5
3.65,3.65,1.5
3.7,3.7,1.5
3.75,3.75,1.5
3.8,3.8,1.5
3.85,3.85,1.5
3.9,3.9,1.5
3.95,3.95,1.5
4.0,4.0,1.5
4.05,4.05,1.5
4.1,4.1,1.5
4.15,4.15,1.5
4.2,4.2,1.5
4.25,4.25,1.5
4.3,4.3,1.5
4.35,4.35,1.5
4.4,4.4,1.5
4.45,4.45,1.5
4.5,4.5,1.5
4.55,4.55,1.5
4.6,4.6,1.5
4.65,4.65,1.5
4.7,4.7,1.5
4.75,4.75,1.5
4.8,4.8,1.5
4.85,4.85,1.5
4.9,4.9,1.5
4.95,4.95,1.5
5.0,5.0,1.5
5.05,5.05,1.5
5.1,5.1,1.5
5.15,5.15,1.5
5.2,5.2,1.5
5.25,5.25,1.5
5.3,5.3,1.5
5.35,5.35,1.5
5.4,5.4,1.5
5.45,5.45,1.5
5.5,5.5,1.5
5.55,5.55,1.5
5.6,5.6,1.5
5.65,5.65,1.5
5.7,5.7,1.5
5.75,5.75,1.5
5.8,5.8,1.5
5.85,5.85,1.5
5.9,5.9,1.5
5.95,5.95,1.5
6.0,6.0,1.5
6.05,6.05,1.5
6.1,6.1,1.5
6.15,6.15,1.5
6.2,6.2,1.5
6.25,6.25,1.5
6.3,6.3,1.5
6.35,6.35,1.5
6.4,6.4,1.5
6.45,6.45,1.5
6.5,6.5,1.5
6.55,6.55,1.5
6.6,6.6,1.5
6.65,6.65,1.5
6.7,6.7,1.5
6.75,6.75,1.5
6.8,6.8,1.5
6.85,6.85,1.5
6.9,6.9,1.5
6.95,6.95,1.5
7.0,7.0,1.5
7.05,7.05,1.5
7.1,7.1,1.5
7.15,7.15,1.5
7.2,7.2,1.5
7.25,7.25,1.5
7.3,7.3,1.5
7.35,7.35,1.5
7.4,7.4,1.5
7.45,7.45,1.5
7.5,7.5,1.5
7.55,7.55,1.5
7.6,7.6,1.5
7.65,7.65,1.5
7.7,7.7,1.5
7.75,7.75,1.5
7.8,7.8,1.5
7.85,7.85,1.5
7.9,7.9,1.5
7.95,7.95,1.5
8.0,8.0,1.5
8.05,8.05,1.5
8.1,8.1,1.5
8.15,8.15,1.5
8.2,8.2,1.5
8.25,8.25,1.5
8.3,8.3,1.5
8.35,8.35,1.5
8.4,8.4,1.5
8.45,8.45,1.5
8.5,8.5,1.5
8.55,8.55,1.5
8.6,8.6,1.5
8.65,8.65,1.5
8.7,8.7,1.5
8.75,8.75,1.5
8.8,8.8,1.5
8.85,8.85,1.5
8.9,8.9,1.5
8.95,8.95,1.5
9.0,9.0,1.5
9.05,9.05,1.5
9.1,9.1,1.5
9.15,9.15,1.5
9.2,9.2,1.5
9.25,9.25,1.5
9.3,9.3,1.5
9.35,9.35,1.5
9.4,9.4,1.5
9.45,9.45,1.5
9.5,9.5,1.5
9.55,9.55,1.5
9.6,9.6,1.5
9.65,9.65,1.5
9.7,9.7,1.5
9.75,9.75,1.5
9.8,9.8,1.5
9.85,9.85,1.5
9.9,9.9,1.5
9.95,9.95,1.5
10.0,10.0,1.5
10.05,10.05,1.5
10.1,10.1,1.5
10.15,10.15,1.5
10.2,10.2,1.5
10.25,10.25,1.5
10.3,10.3,1.5
10.35,10.35,1.5
10.4,10.4,1.5
10.45,10.45,1.5
10.5,10.5,1.5
10.55,10.55,1.5
10.6,10.6,1.5
10.65,10.65,1.5
10.7,10.7,1.5
10.75,10.75,1.5
10.8,10.8,1.5
10.85,10.85,1.5
10.9,10.9,1.5
10.95,10.95,1.5
11.0,11.0,1.5
11.05,11.05,1.5
11.1,11.1,1.5
11.15,11.15,1.5
11.2,11.2,1.5
11.25,11.25,1.5
11.3,11.3,1.5
11.35,11.35,1.5
11.4,11.4,1.5
11.45,11.45,1.5
11.5,11.5,1.5
11.55,11.55,1.5
11.6,11.6,1.5
11.65,11.65,1.5
11.7,11.7,1.5
11.75,11.75,1.5
11.8,11.8,1.5
11.85,11.85,1.5
11.9,11.9,1.5
11.95,11.95,1.5
12.0,12.0,1.5
12.05,12.05,1.5
12.1,12.1,1.5
12.15,12.15,1.5
12.2,12.2,1.5
12.25,12.25,1.5
12.3,12.3,1.5
12.35,12.35,1.5
12.4,12.4,1.5
12.45,12.45,1.5
12.5,12.5,1.5
12.55,12.55,1.5
12.6,12.6,1.5
12.65,12.65,1.5
12.7,12.7,1.5
12.75,12.75,1.5
12.8,12.8,1.5
12.85,12.85,1.5
12.9,12.9,1.5
12.95,12.95,1.5
13.0,13.0,1.5
13.05,13.05,1.5
13.1,13.1,1.5
13.15,13.15,1.5
13.2,13.2,1.5
13.25,13.25,1.5
13.3,13.3,1.5
13.35,13.35,1.5
13.4,13.4,1.5
13.45,13.45,1.5
13.5,13.5,1.5
13.55,13.55,1.5
13.6,13.6,1.5
13.65,13.65,1.5
13.7,13.7,1.5
13.75,13.75,1.5
13.8,13.8,1.5
13.85,13.85,1.5
13.9,13.9,1.5
13.95,13.95,1.5
14.0,14.0,1.5
14.05,14.05,1.5
14.1,14.1,1.5
14.15,14.15,1.5
14.2,14.2,1.5
14.25,14.25,1.5
14.3,14.3,1.5
14.35,14.35,1.5
14.4,14.4,1.5
14.45,14.45,1.5
14.5,14.5,1.5
14.55,14.55,1.5
14.6,14.6,1.5
14.65,14.65,1.5
14.7,14.7,1.5
14.75,14.75,1.5
14.8,14.8,1.5
14.85,14.85,1.5
14.9,14.9,1.5
14.95,14.95,1.5
15.0,15.0,1.5
15.05,15.05,1.5
15.1,15.1,1.5
15.15,15.15,1.5
15.2,15.2,1.5
15.25,15.25,1.5
15.3,15.3,1.5
15.35,15.35,1.5
15.4,15.4,1.5
15.45,15.45,1.5
15.5,15.5,1.5
15.55,15.55,1.5
15.6,15.6,1.5
15.65,15.65,1.5
15.7,15.7,1.5
15.75,15.75,1.5
15.8,15.8,1.5
15.85,15.85,1.5
15.9,15.9,1.5
15.95,15.95,1.5
16.0,16.0,1.5
16.05,16.05,1.5
16.1,16.1,1.5
16.15,16.15,1.5
16.2,16.2,1.5
16.25,16.25,1.5
16.3,16.3,1.5
16.35,16.35,1.5
16.4,16.4,1.5
16.45,16.45,1.5
16.5,16.5,1.5
16.55,16.55,1.5
16.6,16.6,1.5
16.65,16.65,1.5
16.7,16.7,1.5
16.75,16.75,1.5
16.8,16.8,1.5
16.85,16.85,1.5
16.9,16.9,1.5
16.95,16.95,1.5
17.0,17.0,1.5
17.05,17.05,1.5
17.1,17.1,1.5
17.15,17.15,1.5
17.2,17.2,1.5
17.25,17.25,1.5
17.3,17.3,1.5
17.35,17.35,1.5
17.4,17.4,1.5
17.45,17.45,1.5
